iter	Passed	Remaining
209	331	1248
210	332	1244
211	333	1241
212	334	1235
213	335	1231
214	338	1236
215	339	1232
216	340	1229
217	341	1223
218	342	1219
219	342	1214
220	343	1212
221	344	1208
222	346	1207
223	347	1205
224	348	1201
225	349	1197
226	350	1192
227	353	1195
228	354	1193
229	355	1189
230	356	1186
231	356	1181
232	357	1177
233	358	1173
234	359	1170
235	359	1165
236	360	1160
237	361	1157
238	361	1152
239	362	1149
240	363	1145
241	364	1140
242	364	1135
243	365	1131
244	365	1127
245	366	1122
246	366	1117
247	367	1113
248	367	1108
249	367	1103
250	368	1100
251	370	1098
252	370	1094
253	371	1091
254	372	1088
255	374	1087
256	376	1088
257	377	1084
258	377	1079
259	377	1075
260	378	1071
261	379	1067
262	379	1063
263	379	1058
264	380	1055
265	381	1052
266	382	1049
267	382	1044
268	383	1042
269	384	1039
270	384	1035
271	385	1032
272	386	1028
273	386	1023
274	387	1021
275	388	1019
276	389	1016
277	390	1013
278	391	1011
279	392	1008
280	393	1005
281	393	1002
282	394	999
283	394	995
284	395	992
285	396	989
286	397	987
287	398	984
288	399	982
289	399	978
290	400	975
291	401	973
292	401	969
293	402	966
294	403	963
295	403	960
296	404	956
297	404	953
298	405	951
299	406	948
300	407	946
301	408	943
302	409	941
303	409	937
304	409	933
305	410	931
306	411	928
307	412	925
308	412	923
309	413	919
310	414	917
311	414	914
312	415	911
313	416	909
314	416	906
315	417	903
316	418	901
317	419	898
318	419	896
319	420	894
320	421	892
321	422	890
322	423	887
323	424	886
324	425	883
325	426	881
326	427	879
327	427	876
328	428	874
329	429	872
330	430	870
331	431	867
332	432	865
333	432	863
334	433	860
335	434	858
336	435	856
337	436	854
338	437	852
339	438	850
340	439	848
341	440	846
342	441	844
343	441	842
344	442	840
345	443	838
346	444	836
347	445	834
348	446	832
349	447	830
350	447	828
351	448	825
352	449	823
353	449	820
354	450	819
355	451	817
356	452	815
357	453	813
358	454	811
359	455	809
360	456	807
361	457	805
362	458	804
363	459	803
364	460	800
365	461	798
366	461	796
367	462	794
368	463	793
369	464	791
370	465	789
371	466	787
372	467	785
373	468	783
374	468	781
375	469	779
376	470	777
377	471	776
378	472	774
379	473	772
380	474	770
381	475	768
382	476	767
383	477	765
384	478	763
385	478	761
386	479	759
387	480	758
388	482	757
389	482	755
390	483	753
391	484	751
392	485	749
393	486	748
394	487	746
395	488	744
396	489	742
397	490	741
398	491	740
399	492	738
400	493	736
401	494	735
402	494	733
403	495	731
404	496	729
405	497	728
406	498	726
407	499	725
408	500	723
409	502	722
410	503	720
411	503	719
412	504	717
413	505	715
414	506	714
415	507	712
416	508	710
417	509	708
418	509	707
419	510	705
420	512	704
421	512	702
422	513	701
423	515	699
424	516	698
425	517	696
426	518	695
427	519	694
428	520	692
429	521	690
430	521	688
431	522	687
432	523	685
433	524	684
434	525	682
435	526	681
436	527	680
437	528	678
438	529	676
439	530	675
440	531	673
441	532	672
442	533	670
443	534	668
444	534	667
445	535	665
446	536	663
447	537	662
448	538	660
449	539	658
450	540	657
451	541	656
452	542	654
453	543	653
454	544	651
455	545	650
456	545	648
457	546	647
458	547	645
459	548	643
460	549	642
461	550	640
462	550	638
463	551	637
464	552	635
465	553	634
466	554	632
467	554	630
468	555	629
469	556	627
470	557	626
471	558	624
472	559	623
473	560	621
474	561	620
475	561	618
476	562	616
477	563	615
478	564	614
479	565	612
480	566	610
481	567	609
482	567	607
483	568	606
484	569	604
485	570	602
486	571	601
487	572	600
488	573	598
489	573	597
490	574	595
491	575	594
492	576	592
493	577	591
494	578	589
495	578	588
496	579	586
497	580	585
498	581	583
499	582	582
500	582	580
501	583	578
502	584	577
503	585	575
504	585	574
505	587	573
506	588	571
507	589	570
508	590	569
509	590	567
510	591	566
511	592	564
512	593	563
513	594	561
514	595	560
515	595	558
516	596	557
517	597	555
518	598	554
519	599	553
520	600	551
521	600	550
522	601	548
523	602	547
524	603	546
525	604	544
526	605	543
527	606	542
528	607	540
529	608	539
530	609	538
531	610	536
532	610	535
533	611	533
534	612	532
535	613	530
536	614	529
537	615	528
538	616	527
539	617	525
540	618	524
541	618	522
542	619	521
543	620	520
544	621	518
545	622	517
546	623	516
547	624	514
548	624	513
549	625	511
550	626	510
551	627	509
552	628	507
553	629	506
554	630	505
555	630	503
556	632	502
557	632	501
558	633	499
559	634	498
560	635	497
561	636	495
562	637	494
563	637	493
564	638	491
565	639	490
566	640	488
567	640	487
568	641	486
569	642	484
570	643	483
571	644	482
572	645	480
573	646	479
574	647	478
575	647	476
576	648	475
577	649	474
578	650	473
579	651	471
580	652	470
581	653	469
582	654	467
583	654	466
584	655	465
585	656	463
586	657	462
587	658	461
588	658	459
589	659	458
590	660	457
591	661	455
592	662	454
593	663	453
594	664	452
595	664	450
596	666	449
597	666	448
598	667	447
599	668	445
600	669	444
601	670	443
602	670	441
603	671	440
604	672	439
605	673	437
606	673	436
607	674	435
608	675	433
609	676	432
610	676	431
611	677	429
612	678	428
613	679	427
614	680	425
615	681	424
616	682	423
617	682	422
618	683	420
619	684	419
620	684	417
621	685	416
622	686	415
623	687	414
624	688	412
625	689	411
626	689	410
627	690	409
628	691	407
629	692	406
630	693	405
631	694	404
632	695	403
633	696	401
634	696	400
635	697	399
636	698	398
637	699	397
638	700	395
639	701	394
640	702	393
641	702	391
642	703	390
643	704	389
644	705	388
645	706	387
646	707	386
647	708	385
648	709	383
649	710	382
650	711	381
651	712	380
652	713	379
653	714	378
654	715	376
655	716	375
656	717	374
657	718	373
658	718	371
659	719	370
660	720	369
661	721	368
662	722	367
663	723	365
664	724	364
665	725	363
666	725	362
667	726	361
668	727	359
669	728	358
670	729	357
671	729	356
672	730	355
673	731	353
674	732	352
675	733	351
676	734	350
677	734	349
678	735	347
679	736	346
680	737	345
681	738	344
682	739	343
683	740	342
684	741	340
685	742	339
686	742	338
687	743	337
688	744	336
689	745	334
690	746	333
691	746	332
692	747	331
693	748	330
694	749	328
695	750	327
696	750	326
697	751	325
698	752	324
699	753	322
700	754	321
701	755	320
702	756	319
703	757	318
704	757	317
705	758	316
706	759	314
707	760	313
708	761	312
709	762	311
710	763	310
711	764	309
712	765	308
713	766	306
714	767	305
715	768	304
716	768	303
717	769	302
718	770	301
719	771	299
720	772	298
721	773	297
722	773	296
723	774	295
724	775	294
725	776	292
726	776	291
727	777	290
728	778	289
729	779	288
730	780	287
731	780	285
732	781	284
733	782	283
734	783	282
735	783	281
736	784	279
737	785	278
738	786	277
739	787	276
740	787	275
741	788	274
742	789	273
743	790	272
744	791	270
745	792	269
746	792	268
747	793	267
748	794	266
749	795	265
750	796	263
751	796	262
752	797	261
753	798	260
754	799	259
755	800	258
756	801	257
757	802	256
758	802	254
759	803	253
760	804	252
761	805	251
762	805	250
763	806	249
764	807	248
765	808	246
766	808	245
767	809	244
768	810	243
769	810	242
770	811	241
771	812	239
772	812	238
773	813	237
774	814	236
775	815	235
776	816	234
777	817	233
778	817	232
779	818	230
780	819	229
781	820	228
782	821	227
783	821	226
784	822	225
785	823	224
786	824	223
787	824	221
788	825	220
789	826	219
790	827	218
791	827	217
792	828	216
793	829	215
794	829	214
795	831	213
796	832	212
797	833	210
798	833	209
799	834	208
800	835	207
801	835	206
802	836	205
803	837	204
804	837	202
805	838	201
806	839	200
807	839	199
808	840	198
809	841	197
810	842	196
811	843	195
812	844	194
813	845	193
814	845	191
815	846	190
816	847	189
817	848	188
818	849	187
819	850	186
820	850	185
821	851	184
822	852	183
823	853	182
824	854	181
825	854	180
826	855	179
827	856	178
828	857	176
829	858	175
830	859	174
831	860	173
832	861	172
833	862	171
834	863	170
835	863	169
836	864	168
837	865	167
838	866	166
839	866	165
840	867	164
841	868	162
842	868	161
843	869	160
844	870	159
845	871	158
846	871	157
847	872	156
848	873	155
849	874	154
850	875	153
851	875	152
852	877	151
853	877	150
854	878	148
855	879	147
856	880	146
857	880	145
858	881	144
859	882	143
860	883	142
861	884	141
862	885	140
863	885	139
864	886	138
865	887	137
866	887	136
867	888	135
868	889	134
869	890	133
870	891	132
871	892	130
872	893	129
873	894	128
874	894	127
875	895	126
876	896	125
877	897	124
878	898	123
879	899	122
880	900	121
881	900	120
882	901	119
883	902	118
884	903	117
885	904	116
886	905	115
887	905	114
888	906	113
889	907	112
890	908	111
891	909	110
892	910	109
893	910	108
894	911	106
895	912	105
896	913	104
897	914	103
898	915	102
899	916	101
900	917	100
901	918	99
902	919	98
903	920	97
904	921	96
905	921	95
906	922	94
907	923	93
908	924	92
909	925	91
910	926	90
911	927	89
912	928	88
913	928	87
914	929	86
915	930	85
916	931	84
917	932	83
918	933	82
919	934	81
920	934	80
921	935	79
922	936	78
923	937	77
924	938	76
925	939	75
926	940	74
927	940	73
928	941	71
929	942	70
930	943	69
931	944	68
932	945	67
933	946	66
934	947	65
935	948	64
936	949	63
937	950	62
938	950	61
939	951	60
940	952	59
941	953	58
942	954	57
943	955	56
944	955	55
945	956	54
946	957	53
947	958	52
948	959	51
949	960	50
950	960	49
951	961	48
952	962	47
953	964	46
954	965	45
955	965	44
956	966	43
957	967	42
958	968	41
959	969	40
960	970	39
961	970	38
962	971	37
963	972	36
964	973	35
965	973	34
966	974	33
967	975	32
968	976	31
969	977	30
970	978	29
971	980	28
972	981	27
973	982	26
974	983	25
975	984	24
976	985	23
977	986	22
978	987	21
979	987	20
980	988	19
981	989	18
982	990	17
983	991	16
984	991	15
985	993	14
986	994	13
987	995	12
988	996	11
989	997	10
990	998	9
991	999	8
992	999	7
993	1000	6
994	1001	5
995	1002	4
996	1003	3
997	1004	2
998	1004	1
999	1005	0
